id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
8685	NA	Avenue Marcel Thiry  200 1210 Bruxelles	200	1210	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.8569936	4.4332127
6016	NA	Avenue Marcel Thiry  79 1200 Bruxelles	79	1200	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8564168	4.4335742
6353	NA	Avenue Marcel Thiry  79 1200 Bruxelles	79	1200	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8564168	4.4335742
5129	NA	Avenue Maréchal Juin  13 5030 Gembloux	13	5030	Gembloux	Namur	Bâtiment 48,réception	NA	NA	NA	50.56253045	4.7008428116533
5130	NA	Avenue Maréchal Juin  27 5030 Gembloux	27	5030	Gembloux	Namur	Bâtiment 52,réception	NA	NA	NA	50.5626358	4.7036464
6266	NA	Avenue Maréchal Juin 23 5030 Gembloux	23	5030	Gembloux	Namur	NA	NA	NA	NA	50.56261715	4.70214001313447
8563	NA	avenue Marius renard  1 1070 Bruxelles	1	1070	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.82923805	4.29240313717428
4917	NA	Avenue Marius Renard  1 1070 Bruxelles	1	1070	Bruxelles	Bruxelles-Brussel	hall accueil local techniqu	NA	NA	NA	50.8290763	4.29239321174664
5914	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5915	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5916	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5917	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5918	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5919	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5920	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
5921	NA	Avenue Marnix  24 1000 Bruxelles	24	1000	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8397228	4.36563707359941
14666	Appareil fixe-Vast apparaat	Avenue Mascaux 100 6001 Marcinelle	100	6001	Marcinelle	Hainaut	.	Oui-Ja	Non-Nee	NA	50.39770405	4.4438313394913
10810	NA	avenue Mascaux 462 6001 Marcinelle	462	6001	Marcinelle	Hainaut	NA	Y	NA	NA	50.3808027	4.4263275
2673	NA	Avenue Mathieu 37 6600 Bastogne	37	6600	Bastogne	Luxembourg	NA	NA	NA	NA	50.0003238	5.7123646
